월별,시간별,항목,2021 년
1월,1시,농업,1100
1월,1시,임업,841
1월,1시,어업,992
1월,1시,석탄/ 원유 및 천연가스 광업,716
1월,1시,금속 광업,799
1월,1시,비금속광물 광업;연료용 제외,616
1월,1시,광업 지원 서비스업,748
1월,1시,식료품 제조업,775
1월,1시,음료 제조업,803
1월,1시,담배 제조업,882
1월,1시,섬유제품 제조업; 의복제외,870
1월,1시,의복/ 의복액세서리 및 모피제품 제조업,430
1월,1시,가죽/ 가방 및 신발 제조업,493
1월,1시,목재 및 나무제품 제조업;가구제외,735
1월,1시,펄프/ 종이 및 종이제품 제조업,917
1월,1시,인쇄 및 기록매체 복제업,533
1월,1시,코크스/ 연탄 및 석유정제품 제조업,999
1월,1시,화학물질 및 화학제품 제조업;의약품 제외,931
1월,1시,의료용 물질 및 의약품 제조업,829
1월,1시,고무제품 및 플라스틱제품 제조업,789
1월,1시,비금속 광물제품 제조업,938
1월,1시,1차 금속 제조업,1094
1월,1시,금속가공제품 제조업;기계 및 가구 제외,668
1월,1시,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,949
1월,1시,의료/ 정밀/ 광학기기 및 시계 제조업,954
1월,1시,전기장비 제조업,860
1월,1시,기타 기계 및 장비 제조업,621
1월,1시,자동차 및 트레일러 제조업,726
1월,1시,기타 운송장비 제조업,711
1월,1시,가구 제조업,457
1월,1시,기타 제품 제조업,627
1월,1시,산업용 기계 및 장비 수리업,617
1월,1시,전기/ 가스/ 증기 및 공기조절 공급업,1036
1월,1시,수도사업,964
1월,1시,하수/ 폐수 및 분뇨 처리업,978
1월,1시,폐기물 수집운반/ 처리 및 원료재생업,729
1월,1시,환경 정화 및 복원업,669
1월,1시,종합 건설업,779
1월,1시,전문직별 공사업,712
1월,1시,자동차 및 부품 판매업,436
1월,1시,도매 및 상품중개업,603
1월,1시,소매업; 자동차 제외,541
1월,1시,육상운송 및 파이프라인 운송업,559
1월,1시,수상 운송업,875
1월,1시,항공 운송업,647
1월,1시,창고 및 운송관련 서비스업,775
1월,1시,숙박업,1027
1월,1시,음식점 및 주점업,542
