조건별분석,,,,,
[검색조건],,,,,
,분류: 지상,,,,
,요소 : 강수량,,,,
,검색구분 : 일,,,,
,지역/지점명 : 서울,,,,
,기간 : 2012 ~ 2022년 01 ~ 12월 01 ~ 31일,,,,
,,,,,
,,,,,
"	",,,,,
"	",,,,,
"	지점번호",지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각
"	108",서울,2012-06-01,,,
"	108",서울,2012-06-02,,,
"	108",서울,2012-06-03,,,
"	108",서울,2012-06-04,,,
"	108",서울,2012-06-05,0,0,
"	108",서울,2012-06-06,,,
"	108",서울,2012-06-07,,,
"	108",서울,2012-06-08,2,1.5,21:10
"	108",서울,2012-06-09,,,
"	108",서울,2012-06-10,,,
"	108",서울,2012-06-11,,,
"	108",서울,2012-06-12,0.4,0.3,17:35
"	108",서울,2012-06-13,,,
"	108",서울,2012-06-14,,,
"	108",서울,2012-06-15,,,
"	108",서울,2012-06-16,,,
"	108",서울,2012-06-17,,,
"	108",서울,2012-06-18,,,
"	108",서울,2012-06-19,,,
"	108",서울,2012-06-20,,,
"	108",서울,2012-06-21,,,
"	108",서울,2012-06-22,0,0,
"	108",서울,2012-06-23,,,
"	108",서울,2012-06-24,,,
"	108",서울,2012-06-25,,,
"	108",서울,2012-06-26,,,
"	108",서울,2012-06-27,,,
"	108",서울,2012-06-28,,,
"	108",서울,2012-06-29,20,9,21:41
"	108",서울,2012-06-30,69.5,11.5,5:38
"	108",서울,2012-07-01,0,0,
"	108",서울,2012-07-02,,,
"	108",서울,2012-07-03,25,24.5,16:27
"	108",서울,2012-07-04,0.3,0.2,0:05
"	108",서울,2012-07-05,72,15.5,13:52
"	108",서울,2012-07-06,102.5,37,1:33
"	108",서울,2012-07-07,,,
"	108",서울,2012-07-08,,,
"	108",서울,2012-07-09,,,
"	108",서울,2012-07-10,6.5,5.5,22:53
"	108",서울,2012-07-11,8,4,0:34
"	108",서울,2012-07-12,0,0,
"	108",서울,2012-07-13,76.5,68,2:55
"	108",서울,2012-07-14,8,2.5,16:50
"	108",서울,2012-07-15,32.5,5.5,2:57
"	108",서울,2012-07-16,2.5,1.5,0:25
"	108",서울,2012-07-17,0,0,
"	108",서울,2012-07-18,6,4,21:10
"	108",서울,2012-07-19,72.5,20.5,6:03
"	108",서울,2012-07-20,1,0.5,0:05
"	108",서울,2012-07-21,,,
"	108",서울,2012-07-22,16.5,11.5,7:02
"	108",서울,2012-07-23,1,0.5,3:24
"	108",서울,2012-07-24,,,
"	108",서울,2012-07-25,,,
"	108",서울,2012-07-26,,,
"	108",서울,2012-07-27,,,
"	108",서울,2012-07-28,,,
"	108",서울,2012-07-29,0,0,
"	108",서울,2012-07-30,18,17,8:38
"	108",서울,2012-07-31,0.1,0.1,
"	108",서울,2012-08-01,,,
"	108",서울,2012-08-02,,,
"	108",서울,2012-08-03,,,
"	108",서울,2012-08-04,,,
"	108",서울,2012-08-05,,,
"	108",서울,2012-08-06,,,
"	108",서울,2012-08-07,,,
"	108",서울,2012-08-08,,,
"	108",서울,2012-08-09,,,
"	108",서울,2012-08-10,0.3,0.3,8:46
"	108",서울,2012-08-11,,,
