지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
168,여수,2011-01-01 0:00,-4.3,,4.9,54
168,여수,2011-01-01 1:00,-4.3,,6,53
168,여수,2011-01-01 2:00,-4.6,,4.8,54
168,여수,2011-01-01 3:00,-4.5,,5,53
168,여수,2011-01-01 4:00,-4.5,,4.3,51
168,여수,2011-01-01 5:00,-4.4,,5.8,50
168,여수,2011-01-01 6:00,-4.6,,5.5,52
168,여수,2011-01-01 7:00,-4.4,,4.5,49
168,여수,2011-01-01 8:00,-4.1,,5.9,46
168,여수,2011-01-01 9:00,-3.4,,11.7,43
168,여수,2011-01-01 10:00,-2.9,,11.7,43
168,여수,2011-01-01 11:00,-1.9,,10.4,38
168,여수,2011-01-01 12:00,-0.8,,11,32
168,여수,2011-01-01 13:00,0.9,,9.1,29
168,여수,2011-01-01 14:00,0.9,,9.9,34
168,여수,2011-01-01 15:00,1.7,,8.7,36
168,여수,2011-01-01 16:00,2.3,,8.4,36
168,여수,2011-01-01 17:00,1.5,,7.9,38
168,여수,2011-01-01 18:00,0.6,,8.3,41
168,여수,2011-01-01 19:00,0,,7.2,45
168,여수,2011-01-01 20:00,0,,3.2,46
168,여수,2011-01-01 21:00,-0.5,,4.3,49
168,여수,2011-01-01 22:00,-0.6,,4.6,50
168,여수,2011-01-01 23:00,-1,,7.3,52
168,여수,2011-01-02 0:00,-1.1,,3.7,52
168,여수,2011-01-02 1:00,-0.8,,1.6,47
168,여수,2011-01-02 2:00,-0.9,,1.6,50
168,여수,2011-01-02 3:00,-1.5,,0.7,58
168,여수,2011-01-02 4:00,-1.5,,3.4,56
168,여수,2011-01-02 5:00,-1.3,,2.9,55
168,여수,2011-01-02 6:00,-1.4,,0.4,55
168,여수,2011-01-02 7:00,-1.9,,0.3,56
168,여수,2011-01-02 8:00,-1.9,,1.6,57
168,여수,2011-01-02 9:00,-0.6,,2.1,51
168,여수,2011-01-02 10:00,0.8,,5.5,46
168,여수,2011-01-02 11:00,2.5,,1.9,40
168,여수,2011-01-02 12:00,4.1,,2.9,36
168,여수,2011-01-02 13:00,4.3,,5.8,32
168,여수,2011-01-02 14:00,5.5,,4.6,31
168,여수,2011-01-02 15:00,5.6,,5.6,28
168,여수,2011-01-02 16:00,5.3,,4.7,29
168,여수,2011-01-02 17:00,3.4,,7,32
168,여수,2011-01-02 18:00,2.1,,7.5,39
168,여수,2011-01-02 19:00,1.2,,8.4,45
168,여수,2011-01-02 20:00,0.5,,9,47
168,여수,2011-01-02 21:00,0,,6.9,48
168,여수,2011-01-02 22:00,-0.6,,8.8,54
168,여수,2011-01-02 23:00,-1,,8.5,58
168,여수,2011-01-03 0:00,-1.3,,8.4,59
168,여수,2011-01-03 1:00,-1.4,,9,58
168,여수,2011-01-03 2:00,-1.5,,7.5,55
168,여수,2011-01-03 3:00,-1.6,,4.4,56
168,여수,2011-01-03 4:00,-2,,4.9,56
168,여수,2011-01-03 5:00,-2.1,,5.8,55
168,여수,2011-01-03 6:00,-2.4,,2.8,58
168,여수,2011-01-03 7:00,-2.7,,2.5,59
168,여수,2011-01-03 8:00,-2.8,,4.8,60
168,여수,2011-01-03 9:00,-2.2,,6.3,56
168,여수,2011-01-03 10:00,-1,,5.3,50
168,여수,2011-01-03 11:00,1.4,,1.3,42
168,여수,2011-01-03 12:00,2.3,,2.8,34
168,여수,2011-01-03 13:00,3.6,,2.8,28
168,여수,2011-01-03 14:00,4.2,,4.6,25
168,여수,2011-01-03 15:00,4.7,,5.6,26
168,여수,2011-01-03 16:00,4,,5,29
168,여수,2011-01-03 17:00,2.8,,5.5,32
168,여수,2011-01-03 18:00,1.6,,6.9,33
168,여수,2011-01-03 19:00,0.6,,7,42
168,여수,2011-01-03 20:00,0.1,,9.6,44
168,여수,2011-01-03 21:00,-0.3,,8.1,46
168,여수,2011-01-03 22:00,-0.9,,9.2,48
168,여수,2011-01-03 23:00,-1.2,,9.4,53
168,여수,2011-01-04 0:00,-1.2,,9.3,51
168,여수,2011-01-04 1:00,-1.5,,9.1,53
168,여수,2011-01-04 2:00,-1.4,,7.9,54
168,여수,2011-01-04 3:00,-1.5,,7.5,55
168,여수,2011-01-04 4:00,-1.7,,6.4,56
168,여수,2011-01-04 5:00,-1.7,,7.5,57
168,여수,2011-01-04 6:00,-1.7,,5.8,53
168,여수,2011-01-04 7:00,-1.2,,6.7,51
168,여수,2011-01-04 8:00,-1.2,,9.4,53
168,여수,2011-01-04 9:00,-0.2,,7.5,49
168,여수,2011-01-04 10:00,1.2,,9.3,45
168,여수,2011-01-04 11:00,2,,9.4,41
168,여수,2011-01-04 12:00,2.8,,8.8,40
168,여수,2011-01-04 13:00,3.2,,10.3,38
168,여수,2011-01-04 14:00,3.2,,10.5,40
168,여수,2011-01-04 15:00,3.3,,9.9,40
168,여수,2011-01-04 16:00,2.8,,7.9,43
168,여수,2011-01-04 17:00,2.2,,10,48
168,여수,2011-01-04 18:00,1.3,,9.8,52
168,여수,2011-01-04 19:00,0.7,,6.8,54
168,여수,2011-01-04 20:00,0.5,,7.7,54
168,여수,2011-01-04 21:00,0.3,,5.2,55
168,여수,2011-01-04 22:00,0.1,,5.6,56
168,여수,2011-01-04 23:00,0.1,,6.3,57
168,여수,2011-01-05 0:00,-0.1,,6,58
168,여수,2011-01-05 1:00,0,,6.8,56
168,여수,2011-01-05 2:00,0.4,,8.9,54
168,여수,2011-01-05 3:00,0.4,,1.9,55
168,여수,2011-01-05 4:00,0.8,,5.3,54
168,여수,2011-01-05 5:00,0.9,,4,55
168,여수,2011-01-05 6:00,1.1,,5,56
168,여수,2011-01-05 7:00,1.1,,4,56
168,여수,2011-01-05 8:00,1.1,,4.6,56
168,여수,2011-01-05 9:00,1.7,,3.5,56
168,여수,2011-01-05 10:00,2.1,,7.3,56
168,여수,2011-01-05 11:00,2.7,,8.3,54
168,여수,2011-01-05 12:00,3.9,,5,45
168,여수,2011-01-05 13:00,4.3,,7.9,39
168,여수,2011-01-05 14:00,4.4,,10.2,37
168,여수,2011-01-05 15:00,4.3,,9.6,35
168,여수,2011-01-05 16:00,3.3,,7.7,38
168,여수,2011-01-05 17:00,2.4,,6.4,41
168,여수,2011-01-05 18:00,1.7,,8.7,47
168,여수,2011-01-05 19:00,0.9,,11.4,51
168,여수,2011-01-05 20:00,0.6,,9.6,51
168,여수,2011-01-05 21:00,0.5,,5.5,53
168,여수,2011-01-05 22:00,0.1,,5.9,51
168,여수,2011-01-05 23:00,-0.1,,5.4,51
168,여수,2011-01-06 0:00,-0.2,,8.8,53
168,여수,2011-01-06 1:00,-0.6,,6.6,56
168,여수,2011-01-06 2:00,-1,,3.9,60
168,여수,2011-01-06 3:00,-1,,1.1,64
168,여수,2011-01-06 4:00,-0.8,,3.1,60
168,여수,2011-01-06 5:00,-0.7,,7.7,55
168,여수,2011-01-06 6:00,-1,,2.5,57
168,여수,2011-01-06 7:00,-1.2,,3.6,58
168,여수,2011-01-06 8:00,-1.4,,5.9,58
168,여수,2011-01-06 9:00,-1.1,,3.9,56
168,여수,2011-01-06 10:00,-0.4,,6.8,53
168,여수,2011-01-06 11:00,-0.7,,7.7,58
168,여수,2011-01-06 12:00,0.3,,7.5,44
168,여수,2011-01-06 13:00,0.4,,7.7,39
168,여수,2011-01-06 14:00,0.5,,12.4,35
168,여수,2011-01-06 15:00,0.6,,12.6,33
168,여수,2011-01-06 16:00,0.3,,12.7,33
168,여수,2011-01-06 17:00,-0.5,,12.8,36
168,여수,2011-01-06 18:00,-1.4,,11.5,36
168,여수,2011-01-06 19:00,-2.2,,7.9,40
168,여수,2011-01-06 20:00,-2.9,,11.8,45
168,여수,2011-01-06 21:00,-3,,11.2,49
168,여수,2011-01-06 22:00,-3,,10.6,51
168,여수,2011-01-06 23:00,-3,,10.4,52
168,여수,2011-01-07 0:00,-3.1,,7.8,50
168,여수,2011-01-07 1:00,-3.5,,6.3,51
168,여수,2011-01-07 2:00,-3.8,,10.5,50
168,여수,2011-01-07 3:00,-4,,10.3,48
168,여수,2011-01-07 4:00,-4.5,,5.9,47
168,여수,2011-01-07 5:00,-5.1,,7.4,49
168,여수,2011-01-07 6:00,-5.4,,2.5,50
168,여수,2011-01-07 7:00,-5.7,,6.3,48
168,여수,2011-01-07 8:00,-5.8,,8.1,49
168,여수,2011-01-07 9:00,-5.3,,8.4,47
168,여수,2011-01-07 10:00,-4,,8.2,34
168,여수,2011-01-07 11:00,-2.1,,5.4,28
168,여수,2011-01-07 12:00,-0.6,,6,22
168,여수,2011-01-07 13:00,1.3,,5.7,20
168,여수,2011-01-07 14:00,1.5,,6,18
168,여수,2011-01-07 15:00,1.4,,8.7,16
168,여수,2011-01-07 16:00,1.4,,8.7,19
168,여수,2011-01-07 17:00,1.1,,9.1,21
168,여수,2011-01-07 18:00,0,,8.8,23
168,여수,2011-01-07 19:00,-0.7,,9.3,26
168,여수,2011-01-07 20:00,-1.4,,5.2,32
168,여수,2011-01-07 21:00,-1.9,,7.2,39
168,여수,2011-01-07 22:00,-2.3,,7.1,41
168,여수,2011-01-07 23:00,-2.6,,5.6,44
168,여수,2011-01-08 0:00,-2.8,,1.3,45
168,여수,2011-01-08 1:00,-2.6,,2.2,44
168,여수,2011-01-08 2:00,-3.3,,5.1,50
168,여수,2011-01-08 3:00,-3.4,,3.3,39
168,여수,2011-01-08 4:00,-3.6,,5.7,40
168,여수,2011-01-08 5:00,-3.8,,6.1,43
168,여수,2011-01-08 6:00,-4,,4.8,42
168,여수,2011-01-08 7:00,-3.8,,3.7,39
168,여수,2011-01-08 8:00,-3.8,,3.1,41
168,여수,2011-01-08 9:00,-2.5,,5.6,37
168,여수,2011-01-08 10:00,-0.8,,4.5,33
168,여수,2011-01-08 11:00,1.5,,10,39
168,여수,2011-01-08 12:00,2.8,,9.1,37
168,여수,2011-01-08 13:00,3.1,,5,35
168,여수,2011-01-08 14:00,5.4,,5.9,33
168,여수,2011-01-08 15:00,5.4,,6.3,35
168,여수,2011-01-08 16:00,5.2,,6.1,38
168,여수,2011-01-08 17:00,4,,7.3,45
168,여수,2011-01-08 18:00,2.9,,6.5,47
168,여수,2011-01-08 19:00,2.4,,4.8,47
168,여수,2011-01-08 20:00,2.1,,3.8,53
168,여수,2011-01-08 21:00,1.6,,3.7,58
168,여수,2011-01-08 22:00,1.6,,3.5,62
168,여수,2011-01-08 23:00,1.6,,3.2,62
168,여수,2011-01-09 0:00,2.2,,6.8,58
168,여수,2011-01-09 1:00,2.6,,4.8,59
168,여수,2011-01-09 2:00,2.8,,4,59
168,여수,2011-01-09 3:00,2.1,,4.1,61
168,여수,2011-01-09 4:00,1.6,,4.1,64
168,여수,2011-01-09 5:00,1.5,,4.5,63
168,여수,2011-01-09 6:00,1.3,,2.2,65
168,여수,2011-01-09 7:00,1.1,,3.4,61
168,여수,2011-01-09 8:00,1.6,,4.3,57
168,여수,2011-01-09 9:00,2,,7.3,58
168,여수,2011-01-09 10:00,1.6,,6.5,55
168,여수,2011-01-09 11:00,2.3,,6.3,46
168,여수,2011-01-09 12:00,2.1,,6.1,34
168,여수,2011-01-09 13:00,2,,9.6,31
168,여수,2011-01-09 14:00,2.1,,8.2,29
168,여수,2011-01-09 15:00,1.4,,10.3,27
168,여수,2011-01-09 16:00,0.6,,9.1,24
168,여수,2011-01-09 17:00,-0.7,,7.4,29
168,여수,2011-01-09 18:00,-1.9,,10.4,32
168,여수,2011-01-09 19:00,-2.5,,7.9,36
168,여수,2011-01-09 20:00,-2.9,,9.4,38
168,여수,2011-01-09 21:00,-3.4,,10.3,40
168,여수,2011-01-09 22:00,-3.9,,7.9,40
168,여수,2011-01-09 23:00,-4.5,,8.1,42
168,여수,2011-01-10 0:00,-5,,8.6,42
168,여수,2011-01-10 1:00,-5.3,,10.6,42
168,여수,2011-01-10 2:00,-5.6,,11.7,42
168,여수,2011-01-10 3:00,-5.9,,8.3,44
168,여수,2011-01-10 4:00,-6.2,,9.2,45
168,여수,2011-01-10 5:00,-6.3,,8.1,42
168,여수,2011-01-10 6:00,-6.5,,5.2,42
168,여수,2011-01-10 7:00,-6.6,,4.3,42
168,여수,2011-01-10 8:00,-6.7,,3.5,43
168,여수,2011-01-10 9:00,-6.1,,3.5,40
168,여수,2011-01-10 10:00,-5,,4.6,34
168,여수,2011-01-10 11:00,-2.7,,4,28
168,여수,2011-01-10 12:00,-1.7,,5.4,24
168,여수,2011-01-10 13:00,-0.3,,4.6,20
168,여수,2011-01-10 14:00,1.3,,4.6,13
168,여수,2011-01-10 15:00,1,,2,21
168,여수,2011-01-10 16:00,1.8,,3.5,14
168,여수,2011-01-10 17:00,0.9,,3.9,14
168,여수,2011-01-10 18:00,-0.5,,5,19
168,여수,2011-01-10 19:00,-1.6,,7.4,26
168,여수,2011-01-10 20:00,-2.4,,7.2,32
168,여수,2011-01-10 21:00,-3,,6.1,37
168,여수,2011-01-10 22:00,-3.5,,6.9,36
168,여수,2011-01-10 23:00,-3.8,,7.9,35
168,여수,2011-01-11 0:00,-3.9,,7.1,32
168,여수,2011-01-11 1:00,-3.9,,7.4,29
168,여수,2011-01-11 2:00,-4.3,,3.3,31
168,여수,2011-01-11 3:00,-4.4,,6.3,29
168,여수,2011-01-11 4:00,-4.6,,4.9,30
168,여수,2011-01-11 5:00,-4.8,,5.2,29
168,여수,2011-01-11 6:00,-4.8,,0.5,33
168,여수,2011-01-11 7:00,-4.8,,1.6,39
168,여수,2011-01-11 8:00,-4.5,,1,40
168,여수,2011-01-11 9:00,-3.6,,2.2,36
168,여수,2011-01-11 10:00,-1.3,,1,35
168,여수,2011-01-11 11:00,-0.8,,0.9,36
168,여수,2011-01-11 12:00,0.7,,1.2,35
168,여수,2011-01-11 13:00,2.5,,6.6,34
168,여수,2011-01-11 14:00,3.1,,7.6,33
168,여수,2011-01-11 15:00,3.2,,7.1,33
168,여수,2011-01-11 16:00,1.7,,8.4,40
168,여수,2011-01-11 17:00,1.5,,7,40
168,여수,2011-01-11 18:00,0.4,,2.5,47
168,여수,2011-01-11 19:00,-0.1,,6.3,50
168,여수,2011-01-11 20:00,-0.6,,3.8,53
168,여수,2011-01-11 21:00,-0.8,,3.7,56
168,여수,2011-01-11 22:00,-0.8,,2.7,60
168,여수,2011-01-11 23:00,-0.8,,2.9,61
168,여수,2011-01-12 0:00,-1,,4,63
168,여수,2011-01-12 1:00,-1.1,,2.8,62
168,여수,2011-01-12 2:00,-0.7,,3.9,57
168,여수,2011-01-12 3:00,-1.2,,2.6,63
168,여수,2011-01-12 4:00,-1.5,,2.7,64
168,여수,2011-01-12 5:00,-1.5,,3.7,60
168,여수,2011-01-12 6:00,-1.7,,4.3,59
168,여수,2011-01-12 7:00,-2.2,,3.5,63
168,여수,2011-01-12 8:00,-2.8,,4.6,54
168,여수,2011-01-12 9:00,-3,0,9.1,53
168,여수,2011-01-12 10:00,-3.1,,7.9,29
168,여수,2011-01-12 11:00,-2.4,,10.8,24
168,여수,2011-01-12 12:00,-1.9,,11.4,24
168,여수,2011-01-12 13:00,-1.2,,8,24
168,여수,2011-01-12 14:00,-0.8,,8.6,23
168,여수,2011-01-12 15:00,-0.4,,10.3,23
168,여수,2011-01-12 16:00,-0.2,,7.5,23
168,여수,2011-01-12 17:00,-0.8,,7.8,24
168,여수,2011-01-12 18:00,-1.5,,6.5,28
168,여수,2011-01-12 19:00,-1.9,,4.5,30
168,여수,2011-01-12 20:00,-2.2,,5,32
168,여수,2011-01-12 21:00,-2.8,,4.8,34
168,여수,2011-01-12 22:00,-3.3,,5.8,36
168,여수,2011-01-12 23:00,-3.6,,8.5,38
168,여수,2011-01-13 0:00,-3.9,,7.2,39
168,여수,2011-01-13 1:00,-4.3,,4.5,40
168,여수,2011-01-13 2:00,-4.5,,12.9,41
168,여수,2011-01-13 3:00,-4.4,,6.2,44
168,여수,2011-01-13 4:00,-4.4,,3.6,46
168,여수,2011-01-13 5:00,-4.5,,2.1,48
168,여수,2011-01-13 6:00,-4.6,,2.4,48
168,여수,2011-01-13 7:00,-4.8,,1,52
168,여수,2011-01-13 8:00,-5.5,,0.7,56
168,여수,2011-01-13 9:00,-4.2,,0.4,49
168,여수,2011-01-13 10:00,-2.9,,1.6,50
168,여수,2011-01-13 11:00,-2,,1.7,47
168,여수,2011-01-13 12:00,-1.1,,1.6,43
168,여수,2011-01-13 13:00,-0.3,,2.7,42
168,여수,2011-01-13 14:00,0.7,,1.6,39
168,여수,2011-01-13 15:00,1.6,,0.7,36
168,여수,2011-01-13 16:00,3.1,,3,32
168,여수,2011-01-13 17:00,3.2,,3.5,29
168,여수,2011-01-13 18:00,1.6,,1.2,34
168,여수,2011-01-13 19:00,0.6,,2,36
168,여수,2011-01-13 20:00,-0.1,,0.5,41
168,여수,2011-01-13 21:00,-0.4,,4.7,39
168,여수,2011-01-13 22:00,-0.8,,1,41
168,여수,2011-01-13 23:00,-1.2,,2.5,41
168,여수,2011-01-14 0:00,-1,,0.6,43
168,여수,2011-01-14 1:00,-1.6,,0.6,47
168,여수,2011-01-14 2:00,-1.1,,2,41
168,여수,2011-01-14 3:00,-1.8,,0.7,48
168,여수,2011-01-14 4:00,-1.8,,2.3,45
168,여수,2011-01-14 5:00,-2.2,,1.2,44
168,여수,2011-01-14 6:00,-3,,1.4,46
168,여수,2011-01-14 7:00,-3,,0.2,43
168,여수,2011-01-14 8:00,-3.1,,0.7,48
168,여수,2011-01-14 9:00,-2.2,,1.1,45
168,여수,2011-01-14 10:00,0,,1.3,47
168,여수,2011-01-14 11:00,1.1,,1.8,44
168,여수,2011-01-14 12:00,2.5,,2.5,40
168,여수,2011-01-14 13:00,4.2,,1.5,35
168,여수,2011-01-14 14:00,5.3,,4,38
168,여수,2011-01-14 15:00,6,,6,34
168,여수,2011-01-14 16:00,5.6,,4.4,37
168,여수,2011-01-14 17:00,4.4,,7.4,42
168,여수,2011-01-14 18:00,3.8,,7.6,43
168,여수,2011-01-14 19:00,3.1,,9.9,46
168,여수,2011-01-14 20:00,2.6,,8,51
168,여수,2011-01-14 21:00,2.2,,3.6,54
168,여수,2011-01-14 22:00,2.3,,7.9,50
168,여수,2011-01-14 23:00,1.6,,8.4,53
168,여수,2011-01-15 0:00,1,,7,47
168,여수,2011-01-15 1:00,0.5,,7,38
168,여수,2011-01-15 2:00,-0.1,,5.5,34
168,여수,2011-01-15 3:00,-0.6,,6.7,44
168,여수,2011-01-15 4:00,-0.8,,2.4,48
168,여수,2011-01-15 5:00,-1.1,,5.7,50
168,여수,2011-01-15 6:00,-1.5,,7.3,47
168,여수,2011-01-15 7:00,-2.2,,8.9,46
168,여수,2011-01-15 8:00,-2.7,,8,47
168,여수,2011-01-15 9:00,-3.7,,6.6,38
168,여수,2011-01-15 10:00,-4,,6.3,24
168,여수,2011-01-15 11:00,-4.1,,6.3,26
168,여수,2011-01-15 12:00,-3.7,,7.7,23
168,여수,2011-01-15 13:00,-2.7,,10.8,23
168,여수,2011-01-15 14:00,-2.5,,7.5,24
168,여수,2011-01-15 15:00,-2.5,,5.5,25
168,여수,2011-01-15 16:00,-3.9,,9.1,30
168,여수,2011-01-15 17:00,-4.9,,9.7,32
168,여수,2011-01-15 18:00,-5.6,,8.8,44
168,여수,2011-01-15 19:00,-6.4,,9.6,45
168,여수,2011-01-15 20:00,-7.4,,10,42
168,여수,2011-01-15 21:00,-8.3,,12.7,39
168,여수,2011-01-15 22:00,-8.9,,12.9,41
168,여수,2011-01-15 23:00,-9.4,,7.6,44
168,여수,2011-01-16 0:00,-10,,12.4,45
168,여수,2011-01-16 1:00,-10.2,,12.3,47
168,여수,2011-01-16 2:00,-10.4,,11,49
168,여수,2011-01-16 3:00,-10.3,,10,49
168,여수,2011-01-16 4:00,-10.2,,11.2,50
168,여수,2011-01-16 5:00,-10.3,,8.5,51
168,여수,2011-01-16 6:00,-10.2,,11.9,53
168,여수,2011-01-16 7:00,-10,,12.1,55
168,여수,2011-01-16 8:00,-9.7,,14.1,55
168,여수,2011-01-16 9:00,-8.6,,10.7,52
168,여수,2011-01-16 10:00,-7.4,,10.6,49
168,여수,2011-01-16 11:00,-6,,9.4,43
168,여수,2011-01-16 12:00,-5.1,,12.2,38
168,여수,2011-01-16 13:00,-4.1,,12.2,34
168,여수,2011-01-16 14:00,-3.8,,10.5,34
168,여수,2011-01-16 15:00,-3.4,,12.7,30
168,여수,2011-01-16 16:00,-3.8,,5.6,30
168,여수,2011-01-16 17:00,-4.5,,8.2,33
168,여수,2011-01-16 18:00,-5.2,,8.5,37
168,여수,2011-01-16 19:00,-5.6,,7.3,42
168,여수,2011-01-16 20:00,-6,,8,44
168,여수,2011-01-16 21:00,-6.3,,3.4,46
168,여수,2011-01-16 22:00,-6.4,,4.1,50
168,여수,2011-01-16 23:00,-6.4,,4.9,53
168,여수,2011-01-17 0:00,-6.2,,7.1,54
168,여수,2011-01-17 1:00,-6.2,,6.8,55
168,여수,2011-01-17 2:00,-6.2,,8.5,54
168,여수,2011-01-17 3:00,-6.4,,8.3,54
168,여수,2011-01-17 4:00,-6.6,,9.1,54
168,여수,2011-01-17 5:00,-6.6,,9.6,54
168,여수,2011-01-17 6:00,-6.5,,9,55
168,여수,2011-01-17 7:00,-6.4,,10.5,53
168,여수,2011-01-17 8:00,-6,,5,47
168,여수,2011-01-17 9:00,-5,,9.7,45
168,여수,2011-01-17 10:00,-4,,12.4,40
168,여수,2011-01-17 11:00,-2.8,,11.6,31
168,여수,2011-01-17 12:00,-1,,8.1,25
168,여수,2011-01-17 13:00,0.1,,9.3,19
168,여수,2011-01-17 14:00,0.7,,8.8,17
168,여수,2011-01-17 15:00,1.9,,4.4,21
168,여수,2011-01-17 16:00,1.2,,8,19
168,여수,2011-01-17 17:00,0.5,,8.8,18
168,여수,2011-01-17 18:00,-0.5,,8.6,22
168,여수,2011-01-17 19:00,-1.4,,9.4,28
168,여수,2011-01-17 20:00,-2.2,,8.1,32
168,여수,2011-01-17 21:00,-2.8,,8,36
168,여수,2011-01-17 22:00,-3.3,,6.7,39
168,여수,2011-01-17 23:00,-3.5,,6.1,45
168,여수,2011-01-18 0:00,-3.6,,9.6,44
168,여수,2011-01-18 1:00,-3.7,,6,40
168,여수,2011-01-18 2:00,-3.8,,3.7,37
168,여수,2011-01-18 3:00,-3.6,,5.6,30
168,여수,2011-01-18 4:00,-3.6,,5.1,36
168,여수,2011-01-18 5:00,-3.5,,2.8,44
168,여수,2011-01-18 6:00,-4.1,,0,44
168,여수,2011-01-18 7:00,-4.4,,3.1,47
168,여수,2011-01-18 8:00,-4.3,,2.5,51
168,여수,2011-01-18 9:00,-2.8,,3.8,48
168,여수,2011-01-18 10:00,-1,,1.7,44
168,여수,2011-01-18 11:00,-0.4,,4,48
168,여수,2011-01-18 12:00,0.2,,5.6,48
168,여수,2011-01-18 13:00,1,,4.5,44
168,여수,2011-01-18 14:00,1.1,,2.2,47
168,여수,2011-01-18 15:00,1.8,,7.5,43
168,여수,2011-01-18 16:00,1.7,,6.6,48
168,여수,2011-01-18 17:00,1,,5,53
168,여수,2011-01-18 18:00,0.4,,4.2,54
168,여수,2011-01-18 19:00,-0.2,,4,52
168,여수,2011-01-18 20:00,-0.6,,5.6,54
168,여수,2011-01-18 21:00,-1,,4.3,54
168,여수,2011-01-18 22:00,-1.5,,4,54
168,여수,2011-01-18 23:00,-1.7,,5.2,54
168,여수,2011-01-19 0:00,-1.8,,1.7,54
168,여수,2011-01-19 1:00,-2.2,,2.3,54
168,여수,2011-01-19 2:00,-2.4,,1.4,54
168,여수,2011-01-19 3:00,-2.4,,3.1,57
168,여수,2011-01-19 4:00,-2.6,,2.2,57
168,여수,2011-01-19 5:00,-2.8,,2.9,57
168,여수,2011-01-19 6:00,-2.8,,3.9,60
168,여수,2011-01-19 7:00,-3,,4.3,68
168,여수,2011-01-19 8:00,-3.1,,1.5,63
168,여수,2011-01-19 9:00,-2,,4,59
168,여수,2011-01-19 10:00,-0.6,,4.3,56
168,여수,2011-01-19 11:00,0.1,,3.5,50
168,여수,2011-01-19 12:00,0.9,,4.3,43
168,여수,2011-01-19 13:00,1.3,,6.6,38
168,여수,2011-01-19 14:00,2.4,,7,33
168,여수,2011-01-19 15:00,3.5,,6.7,29
168,여수,2011-01-19 16:00,2.5,,5.5,28
168,여수,2011-01-19 17:00,2,,6.3,28
168,여수,2011-01-19 18:00,0.9,,4.4,33
168,여수,2011-01-19 19:00,-0.1,,6,38
168,여수,2011-01-19 20:00,-0.9,,7.5,42
168,여수,2011-01-19 21:00,-1.4,,7.1,44
168,여수,2011-01-19 22:00,-1.9,,6.9,47
168,여수,2011-01-19 23:00,-2.3,,5.4,48
168,여수,2011-01-20 0:00,-2.5,,3.3,51
168,여수,2011-01-20 1:00,-2.8,,2.7,52
168,여수,2011-01-20 2:00,-2.9,,1.7,52
168,여수,2011-01-20 3:00,-2.8,,4.6,53
168,여수,2011-01-20 4:00,-2.6,,8,56
168,여수,2011-01-20 5:00,-3,,2.2,59
168,여수,2011-01-20 6:00,-2.7,,4.7,58
168,여수,2011-01-20 7:00,-2.7,,4.1,60
168,여수,2011-01-20 8:00,-2.3,,3.3,59
168,여수,2011-01-20 9:00,-2,,3.9,54
168,여수,2011-01-20 10:00,-1,,6.1,46
168,여수,2011-01-20 11:00,-0.8,,9.6,39
168,여수,2011-01-20 12:00,-0.6,,8.7,34
168,여수,2011-01-20 13:00,-0.3,,6.4,33
168,여수,2011-01-20 14:00,0.4,,5.7,29
168,여수,2011-01-20 15:00,0.8,,4.6,28
168,여수,2011-01-20 16:00,0.7,,4.3,26
168,여수,2011-01-20 17:00,0,,6.1,27
168,여수,2011-01-20 18:00,-0.7,,6.7,30
168,여수,2011-01-20 19:00,-1.5,,7.4,33
168,여수,2011-01-20 20:00,-2.1,,7.7,39
168,여수,2011-01-20 21:00,-2.6,,7.1,43
168,여수,2011-01-20 22:00,-2.9,,7.9,46
168,여수,2011-01-20 23:00,-3.4,,6.3,50
168,여수,2011-01-21 0:00,-3.7,,7,51
168,여수,2011-01-21 1:00,-4.2,,6,54
168,여수,2011-01-21 2:00,-4.3,,7.1,52
168,여수,2011-01-21 3:00,-4.5,,6,50
168,여수,2011-01-21 4:00,-4.5,,5.5,46
168,여수,2011-01-21 5:00,-4.5,,4,45
168,여수,2011-01-21 6:00,-4.6,,3.7,46
168,여수,2011-01-21 7:00,-4.6,,4.5,41
168,여수,2011-01-21 8:00,-4.6,,3,37
168,여수,2011-01-21 9:00,-3.7,,1.5,35
168,여수,2011-01-21 10:00,-2.4,,0.4,35
168,여수,2011-01-21 11:00,-0.5,,2.6,32
168,여수,2011-01-21 12:00,0.4,,4.5,21
168,여수,2011-01-21 13:00,1.9,,3.6,19
168,여수,2011-01-21 14:00,2.4,,3.8,14
168,여수,2011-01-21 15:00,2.1,,8.2,18
168,여수,2011-01-21 16:00,2.2,,8.2,22
168,여수,2011-01-21 17:00,2,,7.1,25
168,여수,2011-01-21 18:00,0.8,,8.1,26
168,여수,2011-01-21 19:00,-0.1,,8,29
168,여수,2011-01-21 20:00,-1.1,,8.9,36
168,여수,2011-01-21 21:00,-1.8,,9.2,41
168,여수,2011-01-21 22:00,-2.3,,8.6,44
168,여수,2011-01-21 23:00,-2.7,,7.9,42
168,여수,2011-01-22 0:00,-2.8,,4.5,43
168,여수,2011-01-22 1:00,-2.7,,6.3,38
168,여수,2011-01-22 2:00,-2.7,,4.1,31
168,여수,2011-01-22 3:00,-3,,7.5,27
168,여수,2011-01-22 4:00,-2.9,,5.9,34
168,여수,2011-01-22 5:00,-2.9,,2.9,43
168,여수,2011-01-22 6:00,-3.1,,1.7,44
168,여수,2011-01-22 7:00,-3.3,,1.6,45
168,여수,2011-01-22 8:00,-3.1,,1.5,47
